,creditscore,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited,France,Germany,Spain
53,601,1,42,1,98495.72,1,True,False,40014.76,True,0,1,0
54,619,1,43,1,125211.92,1,True,True,113410.49,False,1,0,0
55,656,1,45,5,127864.4,1,True,False,87107.57,False,1,0,0
56,725,1,19,0,75888.2,1,False,False,45613.75,False,0,1,0
57,511,0,66,4,0.0,1,True,False,1643.11,True,0,0,1
58,614,1,51,4,40685.92,1,True,True,46775.28,False,1,0,0
59,742,1,35,5,136857.0,1,False,False,84509.57,False,0,1,0
60,687,0,27,9,152328.88,2,False,False,126494.82,False,0,1,0
61,555,1,33,1,56084.69,2,False,False,178798.13,False,0,0,1
62,684,1,56,8,78707.16,1,True,True,99398.36,False,0,0,1
63,603,1,26,4,109166.37,1,True,True,92840.67,False,0,1,0
64,751,0,36,5,169831.46,2,True,True,27758.36,False,0,1,0
65,581,0,34,1,101633.04,1,True,False,110431.51,False,0,1,0
66,735,1,43,10,97240.2875,2,True,True,196673.28,False,0,1,0
67,661,0,35,5,150725.53,2,False,True,113656.85,False,0,1,0
68,675,0,21,8,98373.26,1,True,False,18203.0,False,1,0,0
69,738,1,58,2,133745.44,1,True,False,28373.86,True,0,1,0
70,813,1,29,6,0.0,1,True,False,33953.87,False,1,0,0
71,657,0,37,0,163607.18,1,False,True,44203.55,False,0,0,1
72,604,0,25,5,157780.84,2,True,True,58426.81,False,0,1,0
73,519,1,36,9,0.0,2,False,True,145562.4,False,1,0,0
74,735,0,21,1,178718.19,2,True,False,22388.0,False,1,0,0
75,664,1,55,8,0.0,2,True,True,139161.64,False,1,0,0
76,678,0,32,9,0.0,1,True,True,148210.64,False,1,0,0
77,757,1,33,5,77253.22,1,False,True,194239.63,False,0,0,1
78,416,0,41,10,122189.66,2,True,False,98301.61,False,0,1,0
79,649,0,34,1,96645.54,2,False,False,171413.66,False,1,0,0
80,777,0,32,2,0.0,1,True,False,136458.19,True,1,0,0
81,543,0,36,3,0.0,2,False,False,26019.59,False,1,0,0
82,506,0,34,4,90307.62,1,True,True,159235.29,False,1,0,0
83,493,0,46,4,0.0,2,True,False,1907.66,False,1,0,0
84,652,0,75,10,0.0,2,True,True,114675.75,False,0,0,1
85,750,1,22,3,121681.82,1,True,False,128643.35,True,0,0,1
86,729,1,30,9,0.0,2,True,False,151869.35,False,1,0,0
87,646,0,46,4,0.0,3,True,False,93251.42,True,1,0,0
88,635,0,37,3,81623.67,2,True,True,156791.36,False,0,1,0
89,647,0,44,5,0.0,3,True,True,174205.22,True,0,0,1
90,808,1,45,7,97240.2875,2,True,False,147132.46,False,1,0,0
91,524,0,36,10,0.0,2,True,False,109614.57,False,1,0,0
92,769,1,29,8,0.0,2,True,True,172290.61,False,1,0,0
93,730,1,42,4,0.0,2,False,True,85982.47,False,0,0,1
94,515,1,35,10,176273.95,1,False,True,121277.78,False,0,0,1
95,773,1,41,9,102827.44,1,False,True,64595.25,False,0,0,1
96,814,1,29,8,97086.4,2,True,True,197276.13,False,0,1,0
97,413,1,34,9,0.0,2,False,False,6534.18,False,1,0,0
98,665,0,40,6,0.0,1,True,True,161848.03,False,1,0,0
99,623,0,44,6,0.0,2,False,False,167162.43,False,1,0,0
100,528,1,36,7,0.0,2,True,False,60536.56,False,0,0,1
101,670,0,65,1,0.0,1,True,True,177655.68,True,0,0,1
102,622,1,46,4,107073.27,2,True,True,30984.59,True,0,0,1
103,582,1,37,1,88938.62,1,True,True,10054.53,False,0,1,0
104,785,0,36,2,99806.85,1,False,True,36976.52,False,0,1,0
105,605,1,33,5,150092.8,1,False,False,71862.79,False,0,0,1
106,479,1,35,9,92833.89,1,True,False,99449.86,True,0,1,0
107,685,1,30,3,90536.81,1,False,True,63082.88,False,0,1,0
108,538,1,39,7,108055.1,2,True,False,27231.26,False,0,1,0
109,562,1,42,2,100238.35,1,False,False,86797.41,False,1,0,0
110,675,1,36,9,106190.55,1,False,True,22994.32,False,0,0,1
111,628,0,30,9,132351.29,2,True,True,74169.13,False,0,1,0
112,668,0,37,6,167864.4,1,True,False,115638.29,False,0,1,0
113,506,0,41,1,0.0,2,True,False,31766.3,False,1,0,0
114,524,0,31,8,107818.63,1,True,False,199725.39,True,0,1,0
115,699,0,34,4,185173.81,2,True,False,120834.48,False,0,1,0
116,828,1,34,8,129433.34,2,False,False,38131.77,False,1,0,0
117,674,1,39,6,120193.42,1,False,False,100130.95,False,0,0,1
118,656,0,39,6,0.0,2,True,False,141069.88,False,1,0,0
119,684,0,48,10,126384.42,1,True,True,198129.36,False,0,1,0
120,625,0,28,3,0.0,1,False,False,183646.41,False,1,0,0
121,432,1,42,5,152603.45,1,True,False,110265.24,True,1,0,0
122,549,0,52,1,0.0,1,False,True,8636.05,True,1,0,0
123,625,1,56,0,148507.24,1,True,False,46824.08,True,1,0,0
124,828,0,41,7,0.0,2,True,False,171378.77,False,1,0,0
125,770,1,24,9,101827.07,1,True,False,167256.35,False,1,0,0
126,758,0,34,3,0.0,2,True,True,124226.16,False,1,0,0
127,795,0,33,9,130862.43,1,True,True,114935.21,False,0,1,0
128,687,1,38,9,122570.87,1,True,True,35608.88,False,1,0,0
129,686,1,25,1,0.0,2,False,True,16459.37,False,1,0,0
130,789,1,39,7,124828.46,2,True,True,124411.08,False,0,1,0
131,589,0,50,5,144895.05,2,True,True,34941.23,False,0,1,0
132,461,0,34,5,63663.93,1,False,True,167784.28,False,0,1,0
133,637,1,40,2,133463.1,1,False,True,93165.34,False,1,0,0
134,584,0,48,2,213146.2,1,True,False,75161.25,True,0,0,1
135,579,0,35,1,129490.36,2,False,True,8590.83,True,0,0,1
136,756,1,44,10,137452.09,1,True,False,189543.9,False,0,1,0
137,663,1,34,7,0.0,2,True,True,180427.24,False,1,0,0
138,682,0,43,5,125851.93,1,True,True,193318.33,False,1,0,0
139,793,1,52,2,0.0,1,True,False,159123.82,True,0,0,1
140,691,0,37,5,40915.55,1,True,False,126213.84,True,1,0,0
141,485,0,37,5,113157.22,1,True,True,54141.5,False,0,0,1
142,635,0,29,8,138296.94,2,True,False,141075.51,False,0,0,1
143,650,1,37,5,106967.18,1,False,False,24495.03,False,1,0,0
144,735,1,44,9,120681.63,1,True,False,74836.34,False,1,0,0
145,416,1,32,0,0.0,2,False,True,878.87,False,1,0,0
146,754,0,32,7,0.0,2,True,False,89520.75,False,0,0,1
147,535,0,48,9,0.0,1,True,False,149892.79,True,1,0,0
148,716,1,42,8,0.0,2,True,False,180800.42,False,0,0,1
149,539,1,37,2,127609.59,1,True,False,98646.22,False,1,0,0
150,614,0,43,6,0.0,2,True,True,109041.53,False,1,0,0
151,706,1,57,7,0.0,1,True,False,17941.16,True,0,0,1
152,758,0,33,7,0.0,2,False,False,82996.47,False,1,0,0
153,586,0,28,2,0.0,2,True,True,92067.35,False,0,0,1
154,646,0,73,6,97259.25,1,False,True,104719.66,False,1,0,0
155,631,0,33,4,123246.7,1,False,False,112687.57,False,0,1,0
156,717,0,22,6,101060.25,1,False,True,84699.56,False,0,0,1
157,684,1,30,2,0.0,1,True,False,83473.82,False,1,0,0
158,800,0,49,7,108007.36,1,False,False,47125.11,False,1,0,0
159,721,0,36,2,0.0,2,True,True,106977.8,False,0,0,1
160,683,1,29,0,133702.89,1,True,False,55582.54,True,0,0,1
161,660,1,31,5,125189.75,2,True,True,139874.43,False,0,1,0
162,704,0,24,7,113034.22,1,True,False,162503.48,True,0,1,0
163,615,0,41,9,109013.23,1,True,False,196499.96,False,0,0,1
164,667,0,39,2,0.0,2,True,False,40721.24,True,0,0,1
165,682,1,24,9,57929.81,2,False,False,53134.3,False,0,1,0
166,484,0,29,4,130114.39,1,True,False,164017.89,False,1,0,0
167,628,1,27,5,95826.49,2,True,False,155996.96,False,0,1,0
168,480,1,44,10,129608.57,1,True,False,5472.7,True,0,1,0
169,578,1,30,4,169462.09,1,True,False,112187.11,False,1,0,0
170,512,1,40,5,0.0,2,True,True,146457.83,False,1,0,0
171,484,0,35,7,133868.21,1,True,True,27286.1,False,0,0,1
172,510,0,30,0,0.0,2,True,True,130553.47,False,1,0,0
173,606,1,36,5,190479.48,2,False,False,179351.89,False,0,1,0
174,597,0,40,8,101993.12,1,False,True,94774.12,False,0,0,1
175,754,0,55,3,161608.81,1,True,False,8080.85,True,0,1,0
176,850,0,45,2,122311.21,1,True,True,19482.5,False,0,0,1
177,510,1,65,2,0.0,2,True,True,48071.61,False,1,0,0
178,778,0,45,1,162150.42,2,True,False,174531.27,False,0,1,0
179,636,1,42,2,0.0,2,True,True,55470.78,False,1,0,0
180,804,0,50,4,0.0,1,True,True,8546.87,True,1,0,0
181,514,1,32,8,0.0,2,True,False,95857.18,False,1,0,0
182,730,0,39,1,99010.67,1,True,False,194945.8,False,1,0,0
183,616,1,30,5,0.0,2,False,True,196108.51,False,0,0,1
184,687,0,34,7,111388.18,2,True,False,148564.76,False,0,1,0
185,715,0,41,8,56214.85,2,False,False,92982.61,True,1,0,0
186,512,0,36,3,84327.77,2,True,False,17675.36,False,1,0,0
187,479,1,40,1,0.0,2,False,False,114996.43,False,1,0,0
188,601,1,32,8,93012.89,1,True,False,86957.42,False,1,0,0
189,580,1,29,9,61710.44,2,True,False,128077.8,False,0,0,1
190,807,1,35,3,174790.15,1,True,True,600.36,False,1,0,0
191,616,0,32,6,0.0,2,True,True,43001.46,False,0,0,1
192,721,1,37,3,107720.64,1,True,True,158591.12,False,0,1,0
193,501,1,57,10,0.0,2,True,True,47847.19,False,1,0,0
194,521,1,35,6,96423.84,1,True,False,10488.44,False,1,0,0
195,850,1,30,2,141040.01,1,True,True,5978.2,False,0,0,1
196,759,1,42,4,105420.18,1,False,True,121409.06,False,1,0,0
197,711,0,38,2,129022.06,2,True,True,14374.86,True,1,0,0
198,512,1,33,3,176666.62,1,True,False,94670.77,False,0,0,1
199,550,1,37,3,0.0,1,True,True,179670.31,False,1,0,0
200,608,0,37,3,89763.84,1,False,False,199304.74,True,0,0,1
201,618,1,34,5,134954.53,1,True,True,151954.39,False,1,0,0
202,643,1,45,5,0.0,1,True,False,142513.5,True,1,0,0
203,671,1,45,2,106376.85,1,False,True,158264.62,False,1,0,0
204,689,1,33,2,161814.64,2,True,False,169381.9,False,0,1,0
205,603,1,31,8,0.0,2,True,True,169915.02,False,1,0,0
206,620,0,41,9,0.0,2,False,False,88852.47,False,1,0,0
207,676,0,34,1,63095.01,1,True,True,40645.81,False,1,0,0
208,572,1,37,4,118287.01,2,False,False,60427.3,False,0,1,0
209,668,1,47,7,106854.21,1,False,True,157959.02,True,0,1,0
210,695,1,46,7,49512.55,1,True,False,133007.34,False,1,0,0
211,730,1,33,9,0.0,2,False,False,176576.62,False,0,0,1
212,807,1,43,1,105799.32,2,True,False,34888.04,True,1,0,0
213,592,1,54,8,0.0,1,True,True,28737.71,True,1,0,0
214,726,0,31,9,114722.05,2,True,True,98178.57,False,1,0,0
215,514,1,30,7,0.0,1,False,True,125010.24,False,0,0,1
216,567,1,37,2,0.0,2,True,True,167984.61,False,1,0,0
217,850,1,33,10,0.0,1,True,False,4861.72,True,1,0,0
218,671,1,45,6,99564.22,1,True,True,108872.45,True,0,1,0
219,670,1,37,4,170557.91,2,True,False,198252.88,False,1,0,0
220,694,0,30,9,0.0,2,True,True,26960.31,False,1,0,0
221,547,0,39,6,74596.15,3,True,True,85746.52,True,0,1,0
222,751,1,50,2,96888.39,1,True,False,77206.25,True,0,1,0
223,594,0,29,3,130830.22,1,True,False,61048.53,False,0,1,0
224,673,1,72,1,0.0,2,False,True,111981.19,False,1,0,0
225,610,1,40,0,0.0,2,True,False,62232.6,False,1,0,0
226,512,0,37,1,0.0,2,False,True,156105.03,False,1,0,0
227,767,1,20,3,119714.25,2,False,True,150135.38,False,0,1,0
228,763,1,42,6,100160.75,1,True,False,33462.94,True,0,1,0
229,712,0,29,2,0.0,1,True,True,144375.0,False,1,0,0
230,539,0,43,3,116220.5,3,True,False,55803.96,True,0,1,0
231,668,0,46,2,0.0,3,True,False,89048.46,True,1,0,0
232,703,1,28,2,81173.83,2,False,True,162812.16,False,1,0,0
233,662,1,38,4,0.0,2,True,False,136259.65,False,0,0,1
234,725,0,37,5,116803.8,1,True,False,124052.97,False,1,0,0
235,703,1,37,8,105961.68,2,False,True,74158.8,False,1,0,0
236,659,1,67,6,117411.6,1,True,True,45071.09,True,0,1,0
237,523,1,34,7,97240.2875,2,True,False,62030.06,False,0,0,1
238,635,0,40,10,123497.58,1,True,False,131953.23,True,1,0,0
239,772,1,26,7,152400.51,2,True,False,79414.0,False,0,1,0
240,545,0,26,1,0.0,2,True,True,199638.56,False,1,0,0
241,634,1,24,8,103097.85,1,True,True,157577.29,False,0,1,0
242,739,1,54,8,126418.14,1,True,False,134420.75,True,0,1,0
243,771,0,36,5,77846.9,1,False,False,99805.99,False,0,1,0
244,587,0,34,1,0.0,2,True,True,97932.68,False,0,0,1
245,544,1,37,2,79731.91,1,True,True,57558.95,False,0,1,0
246,696,1,28,8,0.0,1,False,False,176713.47,False,0,0,1
247,766,1,41,0,0.0,2,False,True,34283.23,False,0,0,1
248,727,1,34,10,0.0,2,True,True,198637.34,False,1,0,0
249,671,0,34,6,37266.67,2,False,False,156917.12,False,0,1,0
250,693,0,30,6,127992.25,1,True,True,50457.2,False,1,0,0
251,850,1,38,3,54901.01,1,True,True,140075.55,False,0,1,0
252,732,1,42,9,108748.08,2,True,True,65323.11,False,0,1,0
253,726,0,48,6,99906.19,1,True,False,64323.24,False,0,0,1
254,557,0,32,6,184686.41,2,True,False,14956.44,False,1,0,0
255,682,0,26,0,110654.02,1,False,True,111879.21,False,1,0,0
256,738,1,31,9,79019.8,1,True,True,18606.23,False,0,0,1
257,531,0,36,9,99240.51,1,True,False,123137.01,False,0,0,1
258,498,1,34,2,0.0,2,True,True,148528.24,False,1,0,0
259,651,1,36,7,0.0,2,True,False,13898.31,False,1,0,0
260,549,0,39,7,0.0,1,False,False,81259.25,True,0,0,1
261,791,0,35,7,52436.2,1,True,False,161051.75,False,0,1,0
262,650,1,41,9,0.0,2,False,True,191599.67,False,0,0,1
263,733,1,34,3,100337.96,3,True,False,48559.19,True,0,1,0
264,811,0,34,1,149297.19,2,True,True,186339.74,False,0,1,0
265,707,1,30,8,0.0,2,True,False,33159.37,False,1,0,0
266,712,1,28,4,145605.44,1,False,True,93883.53,False,0,1,0
267,706,0,37,7,0.0,2,True,True,110899.3,False,0,0,1
268,756,1,62,3,0.0,1,True,True,11199.04,True,1,0,0
269,777,0,53,10,0.0,2,True,False,189992.97,False,1,0,0
270,646,1,35,6,84026.86,1,False,True,164255.69,False,1,0,0
271,714,1,46,1,0.0,1,True,False,152167.79,True,1,0,0
272,782,1,39,8,0.0,2,True,True,33949.67,False,1,0,0
273,775,1,29,10,0.0,2,True,True,68143.93,False,0,0,1
274,479,1,35,4,138718.92,1,True,True,47251.79,True,0,1,0
275,807,1,42,7,118274.71,1,True,True,25885.72,False,1,0,0
276,799,0,22,8,174185.98,2,False,True,192633.85,False,1,0,0
277,675,1,40,7,113208.86,2,True,False,34577.36,False,1,0,0
278,602,1,29,5,103907.28,1,True,False,161229.84,False,0,0,1
279,475,0,32,8,119023.28,1,True,False,100816.29,False,1,0,0
280,744,0,26,5,166297.89,1,True,True,181694.44,False,0,0,1
281,703,1,42,9,63227.0,1,False,True,137316.32,False,0,1,0
282,747,0,41,5,94521.17,2,True,False,194926.86,False,0,0,1
283,583,1,27,7,0.0,2,True,False,51285.49,False,1,0,0
284,681,1,38,3,0.0,2,True,True,112491.96,False,1,0,0
285,773,1,25,2,135903.33,1,True,False,73656.38,False,1,0,0
286,714,0,31,4,125169.26,1,True,True,106636.89,False,1,0,0
287,687,0,44,7,0.0,3,True,False,155853.52,True,0,0,1
288,511,1,58,0,149117.31,1,True,True,162599.51,False,1,0,0
289,627,1,33,5,0.0,2,True,True,103737.82,False,1,0,0
290,694,0,31,10,0.0,2,True,False,160990.27,False,1,0,0
291,616,0,36,6,132311.71,1,False,False,15462.84,False,0,0,1
292,687,1,35,8,0.0,1,True,False,10334.05,False,1,0,0
293,712,0,33,6,0.0,2,True,True,190686.16,False,1,0,0
294,553,1,33,4,118082.89,1,False,False,94440.45,False,1,0,0
295,667,1,31,1,119266.69,1,True,True,28257.63,False,1,0,0
296,731,1,43,2,0.0,1,True,True,170034.95,True,1,0,0
297,629,1,35,7,156847.29,2,True,False,31824.29,False,0,1,0
298,614,0,50,4,137104.47,1,True,False,127166.49,True,1,0,0
299,438,1,37,8,78398.69,1,True,False,44937.01,False,0,1,0
300,652,0,80,4,0.0,2,True,True,188603.07,False,1,0,0
301,729,1,30,6,63669.42,1,True,False,145111.37,False,0,1,0
302,642,1,38,3,0.0,2,False,False,171463.83,False,1,0,0
303,806,0,59,0,135296.33,1,True,False,182822.5,False,0,1,0
304,744,1,36,2,153804.44,1,True,True,87213.33,False,0,0,1
305,474,1,37,3,0.0,2,False,False,57175.32,False,0,0,1
306,559,1,49,2,147069.78,1,True,False,120540.83,True,1,0,0
307,706,1,42,9,0.0,2,True,True,28714.34,False,1,0,0
308,628,0,22,3,0.0,1,True,False,85426.28,False,0,0,1
309,525,1,57,2,145965.33,1,True,True,64448.36,False,0,0,1
310,680,0,30,8,141441.75,1,True,True,16278.97,False,1,0,0
311,749,1,40,1,139290.41,1,True,False,182855.42,True,1,0,0
312,763,0,31,4,0.0,2,False,False,50404.72,False,1,0,0
313,734,1,30,3,0.0,2,True,False,107640.25,False,1,0,0
314,716,1,35,4,144428.87,1,True,False,134132.65,False,1,0,0
315,594,1,35,2,0.0,2,True,False,103480.69,False,1,0,0
316,644,0,46,9,95441.27,1,True,False,108761.05,True,1,0,0
317,671,1,35,1,144848.74,1,True,True,179012.3,False,0,1,0
318,664,1,26,7,116244.14,2,True,True,95145.14,False,0,1,0
319,656,1,50,7,0.0,2,False,True,72143.44,False,1,0,0
320,667,0,40,1,146502.07,1,True,False,19162.89,False,0,0,1
321,663,1,44,2,117028.6,2,False,True,144680.18,False,0,1,0
322,584,0,30,8,112013.81,1,True,False,177772.03,True,0,1,0
323,626,0,37,6,108269.37,1,True,False,5597.94,False,0,0,1
324,485,1,29,7,182123.79,1,True,False,116828.51,True,1,0,0
325,659,0,32,3,150923.74,2,False,True,174652.51,False,0,1,0
326,649,1,33,2,0.0,2,True,False,2010.98,False,1,0,0
327,805,0,39,5,165272.13,1,True,False,14109.85,True,0,0,1
328,716,0,39,10,115301.31,1,True,False,43527.4,True,0,1,0
329,642,1,40,6,129502.49,2,False,True,86099.23,True,0,1,0
330,659,1,31,4,118342.26,1,False,False,161574.19,False,1,0,0
331,545,0,47,5,0.0,2,True,True,38970.14,False,0,0,1
332,543,1,22,8,0.0,2,False,False,127587.22,False,1,0,0
333,718,0,25,7,0.0,2,True,False,30380.12,False,1,0,0
334,840,0,43,7,0.0,2,True,False,90908.95,False,1,0,0
335,630,0,34,9,106937.05,2,True,False,138275.01,False,0,1,0
336,643,1,59,3,170331.37,1,True,True,32171.79,False,0,1,0
337,654,0,32,1,114510.85,1,True,True,126143.23,False,0,1,0
338,582,1,39,5,0.0,2,True,True,129892.93,False,1,0,0
339,659,1,37,3,107594.11,2,True,True,102416.84,False,0,0,1
340,762,1,39,2,81273.13,1,True,True,18719.67,False,0,0,1
341,568,0,32,7,169399.6,1,True,False,61936.22,False,0,0,1
342,670,1,25,6,0.0,2,True,True,78358.94,False,0,0,1
343,613,1,45,1,187841.99,2,True,True,147224.27,False,1,0,0
344,539,1,30,0,0.0,2,True,False,160979.66,False,1,0,0
345,850,0,57,8,126776.3,2,True,True,132298.49,False,0,0,1
346,522,1,37,9,126436.29,1,True,False,174248.52,True,0,0,1
347,737,1,41,1,101960.74,1,True,True,123547.28,False,1,0,0
348,520,1,58,3,0.0,2,False,True,32790.02,False,1,0,0
349,706,1,28,3,0.0,2,False,True,181543.67,False,0,0,1
350,643,0,45,2,150842.93,1,False,True,2319.96,True,0,1,0
351,648,0,37,9,102535.57,1,True,True,189543.19,False,1,0,0
352,443,0,29,9,99027.61,2,True,False,10940.4,False,0,1,0
353,640,1,68,9,0.0,2,True,True,199493.38,False,1,0,0
354,628,0,33,5,0.0,1,True,True,188193.25,False,0,0,1
355,540,0,42,9,87271.41,2,True,False,172572.64,False,0,1,0
356,460,0,35,8,102742.91,2,True,True,189339.6,False,0,1,0
357,636,1,34,2,40105.51,2,False,True,53512.16,False,0,1,0
358,593,0,29,2,152265.43,1,True,False,34004.44,False,1,0,0
359,801,0,42,4,141947.67,1,True,True,10598.29,False,0,0,1
360,640,0,75,1,106307.91,2,False,True,113428.77,False,0,1,0
361,611,1,31,0,107884.81,2,True,True,183487.98,False,0,1,0
362,802,1,31,1,125013.72,1,True,True,187658.09,False,0,1,0
363,717,1,35,7,58469.37,2,True,True,172459.39,False,0,1,0
364,769,0,39,8,0.0,1,False,True,21016.0,False,1,0,0
365,745,1,45,10,117231.63,3,True,True,122381.02,True,0,1,0
366,572,1,35,4,152390.26,1,True,False,128123.66,False,0,0,1
367,629,0,30,2,34013.63,1,True,False,19570.63,False,0,0,1
368,687,0,39,2,0.0,3,False,False,188150.6,True,0,0,1
369,483,0,50,9,0.0,2,True,True,111020.24,False,1,0,0
370,690,1,36,7,101583.11,2,True,False,123775.15,False,1,0,0
371,492,0,30,10,77168.87,2,False,True,146700.22,False,0,1,0
372,709,1,28,8,124695.72,2,True,False,145251.35,False,0,1,0
373,705,1,44,3,105934.96,1,True,False,82463.69,False,0,1,0
374,560,0,66,9,0.0,1,True,True,15928.49,False,1,0,0
375,611,0,46,6,0.0,2,True,False,45886.33,False,1,0,0
376,730,1,62,2,0.0,2,True,True,186489.95,False,0,0,1
377,709,0,45,2,0.0,2,False,True,162922.65,False,0,0,1
378,544,0,21,10,161525.96,2,True,False,9262.77,False,1,0,0
379,712,0,29,7,147199.07,1,True,True,84932.4,False,0,1,0
380,752,1,38,3,183102.29,1,True,True,71557.12,False,0,1,0
381,648,1,46,9,127209.0,2,True,False,77405.95,True,0,0,1
382,556,1,38,8,0.0,2,False,False,417.41,True,0,0,1
383,594,0,24,0,97378.54,1,True,True,71405.17,False,0,0,1
384,645,0,37,2,136925.09,2,False,True,153400.24,False,0,1,0
385,557,1,33,3,54503.55,1,True,True,371.05,False,1,0,0
386,547,1,32,8,155726.85,1,True,False,67789.99,False,0,1,0
387,701,0,39,9,0.0,2,False,True,145894.9,False,1,0,0
388,616,0,66,1,135842.41,1,True,False,183840.51,True,1,0,0
389,605,1,52,1,63349.75,1,True,False,108887.44,False,1,0,0
390,593,0,38,4,129499.42,1,True,True,154071.27,False,0,1,0
391,751,1,52,8,0.0,2,False,True,179291.85,False,0,0,1
392,443,1,36,6,70438.01,2,False,True,56937.43,False,0,0,1
393,685,1,23,8,0.0,2,True,True,112239.03,False,1,0,0
394,718,1,36,9,0.0,1,True,False,45909.87,False,1,0,0
395,538,0,49,9,141434.04,1,False,False,173779.25,True,0,0,1
396,611,0,37,4,0.0,2,True,False,125696.26,False,0,0,1
397,668,1,37,10,152958.29,2,True,True,159585.61,False,0,1,0
398,537,1,41,3,138306.34,1,True,False,106761.47,False,1,0,0
399,709,1,23,10,0.0,2,False,False,129590.18,False,0,0,1
400,850,1,38,1,0.0,2,True,True,80006.65,False,1,0,0
401,745,0,31,3,124328.84,1,True,True,140451.52,False,0,0,1
402,795,1,35,8,0.0,2,True,False,167155.36,False,0,0,1
403,626,1,26,8,0.0,2,False,False,191420.71,False,0,0,1
404,487,0,61,5,110368.03,1,False,False,11384.45,True,0,1,0
405,556,0,39,9,89588.35,1,True,True,94898.1,False,1,0,0
406,643,0,46,6,0.0,2,False,False,106781.59,False,1,0,0
407,605,0,28,6,0.0,2,False,False,159508.52,False,1,0,0
408,756,0,60,3,115924.89,1,True,False,93524.19,True,0,1,0
409,586,0,38,2,0.0,2,True,False,87168.46,False,1,0,0
410,535,1,40,7,111756.5,1,True,False,8128.32,True,0,1,0
411,678,0,35,4,0.0,1,True,False,125518.32,False,1,0,0
